Libros no cargados en ejemplares

'72', '0', 'Ricardo y el dinosaurio rojo', NULL, NULL, 'España', 'Sin especificar', 'Sin especificar', '9788468303826', NULL, NULL, NULL, NULL, NULL, NULL
'73', '0', 'El enigma de Colón y los descubrimientos de América', NULL, NULL, 'España', 'Sin especificar', '840806679X', '9788466725576', NULL, NULL, NULL, NULL, NULL, NULL
'74', '0', 'Naturalmente', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'75', '0', 'Notas de álgebra lineal', NULL, NULL, 'Colombia', 'Sin especificar', '9588133181', '9789587240030', NULL, NULL, NULL, NULL, NULL, NULL
'76', '0', 'Matemáticas Discretas', NULL, NULL, 'México', '6', '9702606373', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'77', '0', 'Programación Lineal. Una introducción a la toma de decisiones cuantitativa', NULL, NULL, 'México', 'Sin especificar', '9706861912', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'78', '0', 'Física Universitaria', NULL, NULL, 'México', '11 Volumen 1', '9702605113', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'79', '0', 'Probabilidad y Estadística para ingeniería y ciencias', NULL, NULL, 'México', '5', '9706860673', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'80', '0', 'Fundamentos de Bases de Datos', NULL, NULL, 'España', '4', '8448136543', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'81', '0', 'Ecuaciones Diferenciales', NULL, NULL, 'México', '2', '9684444389', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'83', '0', 'Matemática Discreta y Lógica. Una perspectiva desde la Ciencia de la Computación', NULL, NULL, 'España', 'Sin especificar', '8489660042', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'85', '0', 'Probabilidad y Estadística Para Ingenieros', NULL, NULL, 'México', '6', '9701702646', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'86', '0', 'Compiladores. Principios, técnicas y herramientas', NULL, NULL, 'México', 'Sin especificar', '9684443331', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'87', '0', 'Fundamentos de Sistemas Operativos', NULL, NULL, 'España', '7', '8448146417', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'88', '0', 'Física para ciencias e ingeniería', NULL, NULL, 'México', '5 Tomo 2', '9701035828', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'89', '0', 'Organización y Arquitectura de Computadores', NULL, NULL, 'España', '5', '8420529931', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'90', '0', 'Física para ciencias e ingeniería', NULL, NULL, 'México', '5 Tomo 1', '970103581X', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'91', '0', 'Sistema de bases de datos. Un enfoque práctico para diseño, implementación y gestión', NULL, NULL, 'España', '4', '8478290753', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'92', '0', 'Manual De Informatica II', NULL, NULL, 'Colombia', 'Sin especificar', '9589105912', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'94', '0', 'Fundamentos de programación. Algoritmos y Estructura de Datos', NULL, NULL, 'México', '2', '8448106032', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'97', '0', 'Oracle 10g Administración y Análisis de Bases de Datos', NULL, NULL, 'México', 'Sin especificar', '9701511026', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'98', '0', 'Linux para usuarios de Windows', NULL, NULL, 'México', 'Sin especificar', '9701034384', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'112', '0', 'Narraciones Fantásticas Antología', NULL, NULL, 'México', '2002', '9587040333', '9789586140850', NULL, NULL, NULL, NULL, NULL, NULL
'114', '0', 'Diez preguntas eternas', NULL, NULL, 'Sin especificar', '2006', '840806343X', '9788408063438', NULL, NULL, NULL, NULL, NULL, NULL
'133', '0', 'Colmillo blanco', NULL, NULL, 'USA', '1a. ed.', '9580451864', '9789580451860', NULL, NULL, NULL, NULL, NULL, NULL
'135', '0', 'Introducción a la Teoría de Autómatas, Lenguajes y Computación', NULL, NULL, 'España', '2', '8478290567', '9788478290567', NULL, NULL, NULL, NULL, NULL, NULL
'136', '0', 'La reina en el palacio de las corrientes de aire. Millennium 3.', NULL, NULL, 'Suecia', '6', '8423341615', '9788423341610', NULL, NULL, NULL, NULL, NULL, NULL
'153', '0', 'Donde esta la franja amarilla', NULL, NULL, 'Colombia', 'Primera', '9580438927', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'154', '0', 'País de la canela', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'156', '0', 'Canto general', NULL, NULL, 'Chile', 'Primera', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'158', '0', 'Relato de un naufrago', NULL, NULL, 'Colombia', 'Primera', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'159', '0', 'El general en su laberinto', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'160', '0', 'El otoño del patriarca', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'162', '0', 'Crónica de una muerte anunciada', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'163', '0', 'Vivir para contarlo', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'164', '0', 'Del Amor y otros demonios', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'166', '0', 'La muerte de Artemio Cruz', NULL, NULL, 'México', 'Primera', '8466301968', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'167', '0', 'Doña flor y sus dos maridos', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'168', '0', 'El olvido que seremos', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'171', '0', 'Tierra de nadie', NULL, NULL, 'Uruguay', 'Primera', '8425330106', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'172', '0', 'Escalera al cielo', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'173', '0', 'Satanás', NULL, NULL, 'Colombia', 'Octava', '9584205536', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'174', '0', 'La luz difícil', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'175', '0', 'El Túnel', NULL, NULL, 'Argentina', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'193', '0', 'Ficciones', NULL, NULL, 'Argentina', 'Sin especificar', 'Sin especificar', '9789583001000', NULL, NULL, NULL, NULL, NULL, NULL
'194', '0', 'Los parientes de Ester', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'196', '0', 'Mujeres de ojos grandes', NULL, NULL, 'México', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'197', '0', 'La ultima oportunidad', NULL, NULL, 'México', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'198', '0', 'Volar sobre el pantano', NULL, NULL, 'México', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'199', '0', 'Don Simeón torrente ha dejado de beber', NULL, NULL, 'Colombia', 'Vigésima séptima', '95860116301', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'200', '0', 'Un tal Bernabé Bernal', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
