"id_product","active","reference","price","name","description_short","categoria","name","caracteristica1"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","ISBN13","'SIN IDENTIFICAR'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Editorial","'Prentice Hall'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Edicion","'6'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Autor","'Hamdy A. Taha'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Pais","'México'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Genero","'Académico"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Estado","'Muy bueno'"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Propietario Anterior","''"
"6","1",,"50000.000000","Investigación de Operaciones. Una introducción",,"Matemáticas Universitarias","Transaccion","''"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","ISBN10","'SIN IDENTIFICAR'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","ISBN13","'9789583030901'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Editorial","'3R Editores'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Edicion","''"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Autor","'Dhirendra Kumar'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Pais","'Colombia'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Genero","'Ciencias Aplicadas"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Estado","'Muy bueno'"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Propietario Anterior","''"
"7","1",,"15000.000000","Six Sigma. Las mejores prácticas",,"Metodología","Transaccion","''"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","ISBN10","'9701026241'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","ISBN13","'SIN IDENTIFICAR'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Editorial","'Mc Graw Hill'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Edicion","''"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Autor","'Morris Rosenthal'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Pais","'Colombia'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Genero","'Tecnología e Informática'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Estado","'Bueno (con algunas marcas y maltrato natural)'"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Propietario Anterior","''"
"8","1",,"5000.000000","Construya su propia PC",,"Tecnología e Informática","Transaccion","''"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","ISBN10","'9586990125'"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","ISBN13","'SIN IDENTIFICAR'"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Editorial","'Prentice Hall'"
